[ 19] Received message from   1: 1|0
[ 36] Received message from  19: 1|0,1
[ 40] Received message from   1: 1|0
[ 41] Received message from  19: 1|0,1
[ 35] Received message from  36: 1|0,1,19
[ 41] Received message from   1: 1|0
[ 33] Received message from  40: 1|0,1
[ 61] Received message from  19: 1|0,1
[ 23] Received message from  41: 1|0,1,19
[ 42] Received message from   1: 1|0
[ 41] Received message from  40: 1|0,1
[ 61] Received message from  36: 1|0,1,19
[ 95] Received message from  19: 1|0,1
[ 24] Received message from  35: 1|0,1,19,36
[ 42] Received message from  33: 1|0,1,40
[ 40] Received message from  41: 1|0,1,19
[ 60] Received message from  23: 1|0,1,19,41
[ 76] Received message from  36: 1|0,1,19
[ 35] Received message from  61: 1|0,1,19
[110] Received message from  19: 1|0,1
[ 61] Received message from  35: 1|0,1,19,36
[ 33] Received message from  42: 1|0,1
[ 42] Received message from  40: 1|0,1
[ 47] Received message from  33: 1|0,1,40
[ 95] Received message from   1: 1|0
[ 41] Received message from  95: 1|0,1,19
[ 42] Received message from  41: 1|0,1,19
[ 24] Received message from  76: 1|0,1,19,36
[ 37] Received message from  24: 1|0,1,19,36,35
[114] Received message from  19: 1|0,1
[ 62] Received message from  35: 1|0,1,19,36
[119] Received message from  60: 1|0,1,19,41,23
[113] Received message from  36: 1|0,1,19
[ 83] Received message from  40: 1|0,1
[ 72] Received message from  33: 1|0,1,40
[ 40] Received message from  42: 1|0,1
[ 36] Received message from  61: 1|0,1,19
[ 95] Received message from  41: 1|0,1,19
[ 40] Received message from 110: 1|0,1,19
[192] Received message from  60: 1|0,1,19,41,23
[ 64] Received message from  24: 1|0,1,19,36,35
[ 26] Received message from  76: 1|0,1,19,36
[103] Received message from   1: 1|0
[114] Received message from  23: 1|0,1,19,41
[ 41] Received message from  42: 1|0,1
[ 74] Received message from  33: 1|0,1,40
[ 62] Received message from  61: 1|0,1,19
[115] Received message from  19: 1|0,1
[110] Received message from   1: 1|0
[103] Received message from  40: 1|0,1
[ 64] Received message from  35: 1|0,1,19,36
[ 47] Received message from  72: 1|0,1,40,33
[ 42] Received message from  95: 1|0,1,19
[ 42] Received message from 110: 1|0,1,19
[ 32] Received message from  83: 1|0,1,40
[ 23] Received message from 114: 1|0,1,19
[ 60] Sent Broadcast: 1|0,1,19,41,23
[ 59] Received message from  47: 1|0,1,40,33
[118] Received message from 119: 1|1,19,41,23,60
[ 35] Received message from  76: 1|0,1,19,36
[ 56] Received message from  26: 1|0,1,19,36,76
[115] Received message from  36: 1|0,1,19
[119] Sent Broadcast: 1|1,19,41,23,60
[ 26] Received message from 113: 1|0,1,19,36
[ 61] Received message from  62: 1|0,1,19,36,35
[110] Received message from  40: 1|0,1
[124] Received message from  19: 1|0,1
[ 77] Received message from  33: 1|0,1,40
[ 67] Received message from  24: 1|0,1,19,36,35
[ 40] Received message from 114: 1|0,1,19
[ 26] Received message from 192: 1|1,19,41,23,60
[118] Received message from  23: 1|0,1,19,41
[113] Received message from  26: 1|0,1,19,36,76
[ 33] Received message from 103: 1|0,1
[ 72] Received message from  47: 1|0,1,40,33
[114] Received message from  41: 1|0,1,19
[ 61] Received message from 110: 1|0,1,19
[ 76] Received message from  35: 1|0,1,19,36
[ 83] Received message from  42: 1|0,1
[  3] Received message from  74: 1|0,1,40,33
[ 88] Received message from  61: 1|0,1,19
[ 63] Received message from  72: 1|0,1,40,33
[110] Received message from  95: 1|0,1,19
[ 67] Received message from  37: 1|1,19,36,35,24
[114] Received message from   1: 1|0
[ 35] Received message from 115: 1|0,1,19
[ 88] Received message from  62: 1|0,1,19,36,35
[ 77] Received message from  32: 1|0,1,40,83
[114] Received message from 118: 1|19,41,23,60,119
[ 33] Received message from  83: 1|0,1,40
[134] Received message from  56: 1|1,19,36,76,26
[119] Received message from  23: 1|0,1,19,41
[  3] Received message from  59: 1|0,1,40,33,47
[ 76] Received message from 113: 1|0,1,19,36
[ 35] Received message from 124: 1|0,1,19
[ 95] Received message from  42: 1|0,1
[ 40] Received message from 103: 1|0,1
[ 74] Received message from  47: 1|0,1,40,33
[ 62] Received message from 110: 1|0,1,19
[ 10] Received message from  77: 1|0,1,40,33
[ 83] Received message from  33: 1|0,1,40
[136] Received message from  32: 1|0,1,40,83
[ 41] Received message from 114: 1|0,1,19
[ 23] Sent Broadcast: 1|0,1,19,41
[134] Received message from  26: 1|0,1,19,36,76
[ 67] Received message from  64: 1|1,19,36,35,24
[ 76] Received message from  24: 1|0,1,19,36,35
[ 88] Received message from  35: 1|0,1,19,36
