[ 38] Received message from   1: 1|0
[ 89] Received message from   1: 1|0
[  1] Sent Broadcast: 1|0
[ 20] Received message from  38: 1|0,1
[ 54] Received message from  38: 1|0,1
[ 20] Received message from  89: 1|0,1
[ 23] Received message from  20: 1|0,1,38
[ 78] Received message from  38: 1|0,1
[ 15] Received message from  54: 1|0,1,38
[ 38] Received message from  89: 1|0,1
[ 32] Received message from  20: 1|0,1,38
[ 61] Received message from  54: 1|0,1,38
[  7] Received message from  23: 1|0,1,38,20
[ 89] Received message from  38: 1|0,1
[ 33] Received message from  20: 1|0,1,38
[ 78] Received message from  89: 1|0,1
[ 15] Received message from  78: 1|0,1,38
[  6] Received message from  32: 1|0,1,38,20
[ 89] Sent Broadcast: 1|0,1
[ 38] Sent Broadcast: 1|0,1
[ 61] Received message from  15: 1|0,1,38,54
[ 32] Received message from  23: 1|0,1,38,20
[ 78] Received message from  54: 1|0,1,38
[ 54] Sent Broadcast: 1|0,1,38
[ 13] Received message from   7: 1|0,1,38,20,23
[ 20] Received message from  78: 1|0,1,38
[ 15] Received message from  61: 1|0,1,38,54
[ 22] Received message from  32: 1|0,1,38,20
[ 42] Received message from  23: 1|0,1,38,20
[ 78] Received message from  20: 1|0,1,38
[ 76] Received message from  15: 1|0,1,38,54
[  6] Received message from  33: 1|0,1,38,20
[ 42] Received message from   7: 1|0,1,38,20,23
[ 76] Received message from  61: 1|0,1,38,54
[ 54] Received message from  78: 1|0,1,38
[ 22] Received message from   6: 1|0,1,38,20,32
[ 44] Received message from  23: 1|0,1,38,20
[ 78] Received message from  15: 1|0,1,38,54
[ 23] Received message from  32: 1|0,1,38,20
[ 15] Sent Broadcast: 1|0,1,38,54
[ 47] Received message from   7: 1|0,1,38,20,23
[ 52] Received message from  23: 1|0,1,38,20
[  7] Received message from  42: 1|0,1,38,20,23
[ 33] Received message from   6: 1|0,1,38,20,32
[  4] Received message from  22: 1|0,1,38,20,32
[ 22] Received message from  33: 1|0,1,38,20
[ 42] Received message from  13: 1|1,38,20,23,7
[ 89] Received message from  20: 1|0,1,38
[ 20] Sent Broadcast: 1|0,1,38
[ 40] Received message from  76: 1|0,1,38,54,15
[ 61] Received message from  78: 1|0,1,38
[ 78] Received message from  61: 1|0,1,38,54
[ 13] Received message from  42: 1|0,1,38,20,23
[ 61] Sent Broadcast: 1|0,1,38,54
[ 39] Received message from   6: 1|0,1,38,20,32
[ 33] Received message from  32: 1|0,1,38,20
[  4] Received message from  52: 1|0,1,38,20,23
[  3] Received message from   4: 1|1,38,20,32,22
[ 42] Received message from  76: 1|0,1,38,54,15
[ 52] Received message from   7: 1|0,1,38,20,23
[ 76] Received message from  78: 1|0,1,38
[ 47] Received message from  13: 1|1,38,20,23,7
