[ 30] Received message from   1: 1|0
[ 47] Received message from   1: 1|0
[ 47] Received message from  30: 1|0,1
[ 57] Received message from   1: 1|0
[ 30] Received message from  47: 1|0,1
[  1] Sent Broadcast: 1|0
[ 54] Received message from  30: 1|0,1
[ 57] Received message from  30: 1|0,1
[ 30] Received message from  57: 1|0,1
[ 54] Received message from  47: 1|0,1
[ 47] Received message from  54: 1|0,1,30
[ 87] Received message from  30: 1|0,1
[ 30] Sent Broadcast: 1|0,1
[ 47] Received message from  57: 1|0,1
[ 57] Received message from  47: 1|0,1
[ 82] Received message from  54: 1|0,1,30
[ 82] Received message from  47: 1|0,1
[ 47] Received message from  87: 1|0,1,30
[ 87] Received message from  57: 1|0,1
[ 57] Sent Broadcast: 1|0,1
[ 47] Received message from  82: 1|0,1,30,54
[ 87] Received message from  54: 1|0,1,30
[ 54] Sent Broadcast: 1|0,1,30
[ 87] Received message from  47: 1|0,1
[ 47] Sent Broadcast: 1|0,1
[ 54] Received message from  87: 1|0,1,30
[ 87] Received message from  82: 1|0,1,30,54
[ 82] Sent Broadcast: 1|0,1,30,54
[ 57] Received message from  87: 1|0,1,30
[ 82] Received message from  87: 1|0,1,30
[ 87] Sent Broadcast: 1|0,1,30
[ 15] Received message from   2: 2|0
[ 39] Received message from   2: 2|0
[ 23] Received message from  15: 2|0,2
[ 51] Received message from   2: 2|0
[ 25] Received message from  15: 2|0,2
[ 15] Received message from  39: 2|0,2
[ 58] Received message from   2: 2|0
[ 22] Received message from  51: 2|0,2
[ 51] Received message from  39: 2|0,2
[ 25] Received message from  23: 2|0,2,15
[ 14] Received message from  25: 2|0,2,15
[ 69] Received message from   2: 2|0
[ 29] Received message from  15: 2|0,2
[ 58] Received message from  39: 2|0,2
[ 29] Received message from  23: 2|0,2,15
[ 17] Received message from  25: 2|0,2,15
[ 39] Received message from  15: 2|0,2
[ 16] Received message from  22: 2|0,2,51
[ 15] Received message from  58: 2|0,2
[ 39] Received message from  51: 2|0,2
[ 31] Received message from  23: 2|0,2,15
[  7] Received message from  69: 2|0,2
[ 23] Received message from  25: 2|0,2,15
[ 17] Received message from  14: 2|0,2,15,25
[ 58] Received message from  15: 2|0,2
[  4] Received message from  29: 2|0,2,15
[ 15] Sent Broadcast: 2|0,2
[ 70] Received message from   2: 2|0
[ 69] Received message from  39: 2|0,2
[ 55] Received message from  22: 2|0,2,51
[ 29] Received message from  58: 2|0,2
