[ 40] Received message from   1: 1|0
[ 77] Received message from  40: 1|0,1
[ 41] Received message from   1: 1|0
[ 77] Received message from   1: 1|0
[ 96] Received message from  40: 1|0,1
[ 31] Received message from  41: 1|0,1
[ 96] Received message from  77: 1|0,1,40
[100] Received message from  40: 1|0,1
[ 97] Received message from  41: 1|0,1
[ 77] Received message from  96: 1|0,1,40
[ 96] Received message from   1: 1|0
[100] Received message from  77: 1|0,1,40
[103] Received message from  40: 1|0,1
[ 58] Received message from 100: 1|0,1,40
[ 97] Received message from  31: 1|0,1,41
[100] Received message from  96: 1|0,1,40
[103] Received message from  41: 1|0,1
[ 97] Received message from   1: 1|0
[ 31] Received message from  97: 1|0,1,41
[108] Received message from  40: 1|0,1
[100] Received message from   1: 1|0
[119] Received message from  31: 1|0,1,41
[ 41] Received message from 103: 1|0,1,40
[ 77] Received message from 100: 1|0,1,40
[ 71] Received message from  58: 1|0,1,40,100
[103] Received message from  77: 1|0,1,40
[124] Received message from  41: 1|0,1
[103] Received message from  96: 1|0,1,40
[ 74] Received message from  97: 1|0,1,41
[124] Received message from  31: 1|0,1,41
[103] Received message from   1: 1|0
[ 77] Received message from 103: 1|0,1,40
[123] Received message from  40: 1|0,1
[ 91] Received message from 100: 1|0,1,40
[ 58] Received message from 108: 1|0,1,40
[108] Received message from  77: 1|0,1,40
[141] Received message from  41: 1|0,1
[ 96] Received message from 103: 1|0,1,40
[103] Received message from  97: 1|0,1,41
[114] Received message from  96: 1|0,1,40
[129] Received message from  31: 1|0,1,41
[ 43] Received message from  71: 1|0,1,40,100,58
[135] Received message from  40: 1|0,1
[ 57] Received message from 119: 1|0,1,41,31
[123] Received message from   1: 1|0
[ 91] Received message from  58: 1|0,1,40,100
[ 77] Received message from 108: 1|0,1,40
[ 54] Received message from  74: 1|0,1,41,97
[ 96] Received message from 100: 1|0,1,40
[149] Received message from  41: 1|0,1
[ 31] Received message from 124: 1|0,1,41
[ 58] Received message from  91: 1|0,1,40,100
[ 41] Sent Broadcast: 1|0,1
[143] Received message from  40: 1|0,1
[ 97] Received message from 103: 1|0,1,40
[ 63] Received message from  43: 1|1,40,100,58,71
[123] Received message from  77: 1|0,1,40
[109] Received message from  71: 1|0,1,40,100,58
[133] Received message from  97: 1|0,1,41
[124] Received message from   1: 1|0
[119] Received message from  96: 1|0,1,40
[ 40] Sent Broadcast: 1|0,1
[134] Received message from  31: 1|0,1,41
[ 77] Received message from 123: 1|0,1,40
[ 31] Received message from 141: 1|0,1,41
[108] Received message from  58: 1|0,1,40,100
[ 11] Received message from  57: 1|0,1,41,31,119
[119] Received message from 114: 1|0,1,40,96
[ 96] Received message from 119: 1|0,1,41,31
[108] Received message from  91: 1|0,1,40,100
[118] Received message from  74: 1|0,1,41,97
[ 58] Received message from 135: 1|0,1,40
[135] Received message from  77: 1|0,1,40
[100] Received message from 103: 1|0,1,40
[103] Received message from 100: 1|0,1,40
[ 84] Received message from  54: 1|0,1,41,97,74
[ 91] Received message from 108: 1|0,1,40
[121] Received message from 114: 1|0,1,40,96
[105] Received message from  63: 1|40,100,58,71,43
[141] Received message from  97: 1|0,1,41
[ 96] Received message from 124: 1|0,1,41
[123] Received message from  96: 1|0,1,40
[ 17] Received message from 143: 1|0,1,40
[ 11] Received message from 129: 1|0,1,41,31
[ 31] Received message from 149: 1|0,1,41
[109] Received message from  43: 1|1,40,100,58,71
[108] Received message from 100: 1|0,1,40
[116] Received message from  71: 1|0,1,40,100,58
[133] Received message from  74: 1|0,1,41,97
[  9] Received message from 133: 1|0,1,41,97
[114] Received message from 119: 1|0,1,41,31
[ 77] Received message from 135: 1|0,1,40
[ 96] Received message from 123: 1|0,1,40
[100] Received message from 108: 1|0,1,40
[ 10] Received message from 134: 1|0,1,41,31
[141] Received message from  31: 1|0,1,41
[ 37] Received message from  57: 1|0,1,41,31,119
[141] Received message from   1: 1|0
[ 10] Received message from  11: 1|1,41,31,119,57
[ 54] Received message from 118: 1|0,1,41,97,74
[ 97] Sent Broadcast: 1|0,1,41
[123] Received message from 103: 1|0,1,40
[118] Received message from  54: 1|0,1,41,97,74
[116] Received message from  58: 1|0,1,40,100
[ 43] Received message from 109: 1|1,40,100,58,71
[149] Received message from  77: 1|0,1,40
[ 77] Sent Broadcast: 1|0,1,40
[100] Received message from 123: 1|0,1,40
[ 74] Received message from 141: 1|0,1,41
[109] Received message from  63: 1|40,100,58,71,43
[  6] Received message from  84: 1|1,41,97,74,54
[121] Received message from 119: 1|0,1,41,31
[ 77] Received message from 149: 1|0,1,41
[117] Received message from  71: 1|0,1,40,100,58
