[ 17] Received message from   1: 1|0
[ 45] Received message from   1: 1|0
[ 10] Received message from  17: 1|0,1
[ 50] Received message from   1: 1|0
[ 33] Received message from  17: 1|0,1
[ 54] Received message from  45: 1|0,1
[104] Received message from   1: 1|0
[ 50] Received message from  10: 1|0,1,17
[119] Received message from  45: 1|0,1
[ 31] Received message from  33: 1|0,1,17
[ 10] Received message from  50: 1|0,1
[ 50] Received message from  17: 1|0,1
[140] Received message from  10: 1|0,1,17
[ 21] Received message from  54: 1|0,1,45
[150] Received message from   1: 1|0
[ 43] Received message from  33: 1|0,1,17
[  1] Sent Broadcast: 1|0
[ 21] Received message from 119: 1|0,1,45
[ 17] Received message from  50: 1|0,1
[150] Received message from  45: 1|0,1
[ 85] Received message from  33: 1|0,1,17
[ 45] Sent Broadcast: 1|0,1
[ 19] Received message from  31: 1|0,1,17,33
[ 47] Received message from  54: 1|0,1,45
[ 16] Received message from 140: 1|0,1,17,10
[ 54] Received message from 119: 1|0,1,45
[150] Received message from 104: 1|0,1
[109] Received message from  33: 1|0,1,17
[ 75] Received message from  43: 1|0,1,17,33
[104] Sent Broadcast: 1|0,1
[ 10] Received message from 150: 1|0,1
[ 16] Received message from  21: 1|0,1,45,119
[150] Received message from  17: 1|0,1
[ 17] Sent Broadcast: 1|0,1
[ 21] Received message from 140: 1|0,1,17,10
[ 79] Received message from  43: 1|0,1,17,33
[ 31] Received message from  85: 1|0,1,17,33
[117] Received message from 119: 1|0,1,45
[114] Received message from  33: 1|0,1,17
[ 80] Received message from  54: 1|0,1,45
[119] Sent Broadcast: 1|0,1,45
[ 33] Sent Broadcast: 1|0,1,17
[ 17] Received message from 150: 1|0,1
[ 35] Received message from  19: 1|0,1,17,33,31
[ 16] Received message from  47: 1|0,1,45,54
[ 47] Received message from  21: 1|0,1,45,119
[ 79] Received message from  75: 1|0,1,17,33,43
[ 35] Received message from  31: 1|0,1,17,33
[ 85] Received message from  43: 1|0,1,17,33
[ 43] Received message from  85: 1|0,1,17,33
